Name,Position,Duration,Umpire 2,Stage,Club,Third Umpire,Tournament,Country,Umpire 1,Instant Replay Official,Search Event,Match Date,Game,Camera Angle,Tournament Handicap,Set Play,Chukka,Year,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Penalty Block,Knock-in Player 2,Foul Outcome,Penalties,Penalty Outcome
Shot At Goal (16),720684,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,John Bickford,Cavallo Ranch,Shot At Goal,59;17,Attacking 30,Wide,,,,,,,,,,,
Assist (7),736101,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Unsuccessful,Tommy Alberdi,,,,,,,
Shot At Goal (17),753422,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,73;16,Attacking 30,Goal,,,,,,,,,,,
Goal JC Polo/Folded Hills (1),754940,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Jesse Bray,JC Polo/Folded Hills,,77;1,Attacking 30,,Goal JC Polo/Folded Hills,Goals,,,,,,,,,
Non Call (3),759582,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,,Team,,,,,,,,,Non Call,Right of Way,,,,,
Shot At Goal (18),766765,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,58;104,Attacking Half,Blocked,,,,,,,,,,,
Throw-in (7),782542,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 3,2021,JC Polo/Folded Hills win throw-in,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Shot Block (1),795817,10000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Remy Muller,Cavallo Ranch,,,,,,,,,,,Shot Block,,,,
Shot At Goal (19),845551,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Remy Muller,Cavallo Ranch,Shot At Goal,43;92,Attacking Half,Wide,,,,,,,,,,,
Assist (8),865220,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 3,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Unsuccessful,Tommy Alberdi,,,,,,,
