Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Foul Received (7),2792866,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Sapo Caset,Tonkawa,,56;238,Defending 60,,,,,,,,Foul Received,Crossing,Penalty 5,,,,,
Penalty 5 (4),2817433,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5,2020,Chukka 3,,Ignacio Toccalino,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (15),2809333,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Jeff Hildebrand,Tonkawa,Shot At Goal,50;20,Attacking 30,Miss Hit,,,,,,,,,,,,,,
Assist (5),2825766,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Ignacio Toccalino,Tonkawa,,,,,,,Unsuccessful,Ignacio Toccalino,,,,,,,,,,
Knock In (8),2854533,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 3,,Facundo Pieres,Pilot,,,,,,,,,Gonzalito Pieres,,,,,,,,,
Free Hit,2964100,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Free Hit,2020,Chukka 3,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Non Call (2),2966166,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,,Team,,,,,,,,,,,Non Call,Riding Into Shot,,,,,,
Throw-in (12),3968633,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 4,Pilot win throw-in,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (16),3954033,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Gonzalito Pieres,Pilot,Shot At Goal,81;44,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Pilot (4),3956166,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,Gonzalito Pieres,Pilot,,80;4,Attacking 30,,Goal Pilot,Goals,,,,,,,,,,,,
